Вкажіть тип фінансового звіту, який заповнюєте;Область;Вкажіть назву партії;Чи подано звіт?;Дата подання фінансового звіту партією;Власні кошти місцевої організації партії;Внески кандидатів, включених до виборчого списку;Добровільні внески фізичних осіб;"Надходження коштів від осіб, не визначених у частині першій статті 72 Закону України ""Про місцеві вибори"" (юридичні особи, громадські організації тощо)";Помилкові надходження коштів;Усього надійшло коштів на накопичувальний рахунок виборчого фонду;Повернення добровільних внесків фізичним особам (загальна сума);Перерахування коштів до бюджетів (загальна сума);Повернення помилкових надходжень коштів;Банківські послуги, які не повязані з відкриттям і закриттям рахунку та його функціонуванням;Публікування реквізитів накопичувального рахунку в друкованих ЗМІ;Усього перераховано коштів з накопичувального рахунку виборчого фонду;Загальний розмір виборчого фонду;Усього надійшло коштів на поточний рахунок виборчого фонду;Виготовлення матеріалів передвиборної агітації (загальна сума);Виготовлення друкованих матеріалів (плакатів, листівок, буклетів та інших агітаційних матеріалів);Виготовлення відеозаписів;Виготовлення аудіозаписів;Виготовлення предметів, матеріалів (сувенірів, канцтоварів тощо)  з використанням прізвищ чи зображень (портретів) кандидатів;Придбання канцтоварів, паперу, інших предметів і матеріалів для виготовлення матеріалів передвиборної агітації;Використання засобів масової інформації (загальна сума);Оплата ефірного часу (загальна сума телебачення + радіо);Оплата ефірного часу на телебаченні;Оплата ефірного часу на радіо;Публікування агітаційних матеріалів у друкованих засобах масової інформації;Інші послуги, пов’язані з проведенням передвиборної агітації (загальна сума);Транспортні послуги для реалізації заходів передвиборної агітації;Оренда будинків і приміщень для проведення публічних дебатів, дискусій, круглих столів, прес-конференцій стосовно положень передвиборної програми кандидата, а також для виготовлення матеріалів передвиборної агітації;Оренда обладнання та технічних засобів для ведення передвиборної агітації;Оренда приміщень усіх форм власності для проведення зборів громадян та інших публічних заходів передвиборної агітації;Виготовлення (оренда) рекламних щитів;Виготовлення (оренда) агітаційних наметів;Послуги зв’язку (загальна сума);Послуги електричного зв’язку;Послуги поштового зв’язку;Інші витрати на агітацію;Сума витрат виборчого фонду (усього витрачено коштів з поточного рахунку);Залишок коштів на поточному рахунку виборчого фонду;;;;;;;;;;
остаточний;Херсонська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;168148;0;0;0;0;168148;0;0;0;0;0;0;168148;168148;36293,36;-1;-1;-1;-1;-1;99454,64;-1;-1;-1;-1;32400;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;168148;0;;;;;;;;;;
остаточний;Хмельницька;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2016-10-30;864849,75;0;0;0;0;864849,75;0;0;0;0;0;0;864849,75;864849,75;433245,8;-1;-1;-1;-1;-1;412203,95;-1;-1;-1;-1;7800;-1;-1;-1;-1;-1;-1;-1;-1;-1;11600;864849,75;0;;;;;;;;;;
остаточний;Хмельницька;БПП Солідарність;подано повний звіт (Додатки 1-6);2015-11-01;245026,25;544822,04;39121;0;1907;830876,29;2000;0;1907;0;0;3907;826969,29;826969,29;393041,5;345856;2055;0;45130,5;0;386404,59;219303,19;209797,15;9506,04;167101,4;32383,2;0;0;0;0;23100;0;9283,2;0;9283,2;15140;826969,29;0;;;;;;;;;;
остаточний;Хмельницька;Відродження;подано повний звіт (Додатки 1-6);2015-11-01;1007758,75;0;0;0;0;1007758,75;0;0;0;0;0;0;1007758,75;1007758,75;123252;120752;2500;0;0;0;662063,54;462970,7;462970,7;0;199092,84;175796;13396;0;0;3150;159250;0;0;0;0;46600;1007711,54;46,46;;;;;;;;;;
остаточний;Хмельницька;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;92774;27620;0;0;120394;0;0;0;0;0;0;120394;119520;85970,83;85970,83;0;0;0;0;29941,3;12950,4;0;1663,2;15327,7;3374;0;0;0;200;3174;0;0;0;0;0;119286,13;233,87;;;;;;;;;;
остаточний;Хмельницька;ВО Свобода;подано повний звіт (Додатки 1-6);2015-11-01;107000;52905;86728,67;0;0;246633,67;0;0;0;0;0;0;246633,67;246633,67;165758,5;162996;2762,5;0;0;0;74648,85;0;60465,2;2880;11303,65;6216,53;0;1300;0;0;4916,53;0;0;0;0;0;246623,88;9,79;;;;;;;;;;
остаточний;Хмельницька;За конкретні справи;подано повний звіт (Додатки 1-6);2015-10-29;5869920;4415;9445;0;0;5883780;0;0;0;0;0;0;5883780;5883780;1251252;479223;19220;0;752809;0;2444615;610425;504745;105680;1834190;24760;0;0;7350;2910;14500;0;0;0;0;2161109;5881736;2044;;;;;;;;;;
остаточний;Хмельницька;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;36140;20515;0;0;56655;0;0;0;335;0;335;56320;56320;14090;-1;-1;-1;-1;-1;42182,12;-1;-1;-1;-1;47,88;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;56320;0;;;;;;;;;;
проміжний;Хмельницька;Наш край;подано повний звіт (Додатки 1-6);2016-10-21;0;9000;10000;0;0;19000;0;0;0;0;0;0;19000;19000;19000;19000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19000;0;;;;;;;;;;
остаточний;Хмельницька;Самопоміч;"подано неповний звіт (без додатків, ""розшифровок"")";2016-10-30;1750;316832,89;14843,17;0;0;333426,06;0;0;0;0;0;0;333426,06;313746,06;156667,52;-1;-1;-1;-1;-1;139536,5;-1;-1;-1;-1;1669,42;-1;-1;-1;-1;-1;-1;-1;-1;-1;15872,62;313746,06;0;;;;;;;;;;
остаточний;Хмельницька;УКРОП;подано повний звіт (Додатки 1-6);2015-11-01;139250;147111,75;0;0;13920;300281,75;0;0;13920;0;0;13920;286320,75;286320,75;71020;70520;0;0;500;0;18118,45;6609,25;4378;2231,25;11509,2;1200;0;0;0;0;0;0;0;1200;0;195981,5;286319,95;0,8;;;;;;;;;;
остаточний;Черкаська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;82500;0;95394,95;0;36600;214494,95;0;0;36600;0;0;36600;177894,95;177894,95;134764,94;-1;-1;-1;-1;-1;33730,01;-1;-1;-1;-1;9400;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;177894,95;0;;;;;;;;;;
остаточний;Черкаська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;353000;952631;64570;0;0;1370201;19237;0;14854;0;0;34091;1336110;1336000;826396,45;-1;-1;-1;-1;-1;290312,25;-1;-1;-1;-1;95372,52;-1;-1;-1;-1;-1;-1;-1;-1;-1;121232,26;1333313,48;2686,52;;;;;;;;;;
остаточний;Черкаська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;989209,16;54000;0;0;296650;1339859,16;0;0;296650;0;0;296650;1043209,16;1043209,16;14140;-1;-1;-1;-1;-1;757338,62;-1;-1;-1;-1;422345,6;-1;-1;-1;-1;-1;-1;-1;-1;-1;271730,16;1043209,16;0;;;;;;;;;;
остаточний;Черкаська;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;12900;38841,23;105320;0;0;157061,23;0;0;0;0;0;0;157061,23;157061,23;87420,13;-1;-1;-1;-1;-1;50894,44;-1;-1;-1;-1;2746,66;-1;-1;-1;-1;-1;-1;-1;-1;-1;16000;157061,23;0;;;;;;;;;;
остаточний;Черкаська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;0;10600;0;0;10600;0;0;0;0;0;0;10600;10600;9675;-1;-1;-1;-1;-1;100;-1;-1;-1;-1;700;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;10475;125;;;;;;;;;;
остаточний;Черкаська;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;42056;930;0;0;0;42986;0;0;0;0;0;0;42986;42804;37484;-1;-1;-1;-1;-1;5166;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;42650;154;;;;;;;;;;
остаточний;Черкаська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;54600;0;18925;0;0;73525;0;0;0;0;0;0;73525;73481;24281;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49200;73481;0;;;;;;;;;;
остаточний;Черкаська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;8000;138322;24413;0;0;170735;0;0;0;143;0;143;170592;170206;147489;-1;-1;-1;-1;-1;6261;-1;-1;-1;-1;15956;-1;-1;-1;-1;-1;-1;-1;-1;-1;500;170206;0;;;;;;;;;;
остаточний;Черкаська;Партія ветеранів Афганістану;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;209758,28;63738;0;0;273496,28;0;0;0;0;0;0;273496,28;273496,28;165256,58;-1;-1;-1;-1;-1;95439,7;-1;-1;-1;-1;4100;-1;-1;-1;-1;-1;-1;-1;-1;-1;8700;273496,28;0;;;;;;;;;;
остаточний;Черкаська;Партія простих людей Сергія Капліна;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;0;4600;0;0;4600;0;0;0;0;0;0;4600;4600;4600;0;4600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4600;0;;;;;;;;;;
остаточний;Черкаська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;123487;9150;0;0;132637;0;0;0;0;0;0;132637;132387;58260;-1;-1;-1;-1;-1;65270,94;-1;-1;-1;-1;4800;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;128330,94;4056,06;;;;;;;;;;
остаточний;Черкаська;Соціалісти;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;0;64190,6;1000;0;0;65190,6;0;0;0;0;0;0;65190,6;65190,6;65190,6;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65190,6;0;;;;;;;;;;
остаточний;Черкаська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;307000;0;1700;0;0;308700;0;0;0;0;0;0;308700;308700;210025;-1;-1;-1;-1;-1;26940;-1;-1;-1;-1;51672;-1;-1;-1;-1;-1;-1;-1;-1;-1;1577,72;290214,72;18485,28;;;;;;;;;;
остаточний;Черкаська;Черкащани;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;957101,59;130490,8;0;14644;1102236,39;7014;0;7630;0;0;14644;1087592,39;1087583,95;806705,87;-1;-1;-1;-1;-1;265444,24;-1;-1;-1;-1;12453,84;-1;-1;-1;-1;-1;-1;-1;-1;-1;2980;1087583,95;0;;;;;;;;;;
остаточний;Чернівецька;Аграрна партія України;подано повний звіт (Додатки 1-6);2015-10-30;467700;17000;78847;0;0;562847,5;0;0;0;0;0;0;562847,5;503910,82;216135;-1;-1;-1;-1;-1;267750,62;-1;-1;-1;-1;14410;-1;-1;-1;-1;-1;-1;-1;-1;-1;5518,2;503813,82;97;;;;;;;;;;
остаточний;Чернівецька;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;9500;415794;78645;0;0;503939;0;0;0;0;0;0;503939;503939;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Чернівецька;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;215000;184920;0;0;0;399920;0;0;0;0;0;0;399920;399920;178590;-1;-1;-1;-1;-1;137160,2;-1;-1;-1;-1;4600;-1;-1;-1;-1;-1;-1;-1;-1;-1;79560;399910,2;9,8;;;;;;;;;;
остаточний;Чернівецька;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;666607;0;0;0;666607;0;0;0;0;0;0;666607;666607;368618;-1;-1;-1;-1;-1;205917;-1;-1;-1;-1;92192;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;666607;0;;;;;;;;;;
остаточний;Чернівецька;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;5300;0;0;0;5300;0;0;0;0;0;0;5300;5300;5300;5300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5300;0;;;;;;;;;;
остаточний;Чернівецька;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;145122,6;398902,24;4800;0;0;548824,84;0;0;0;0;0;0;548824,84;548824,84;192044,02;-1;-1;-1;-1;-1;256096,82;-1;-1;-1;-1;89684;-1;-1;-1;-1;-1;-1;-1;-1;-1;2000;548824,84;0;;;;;;;;;;
проміжний;Чернівецька;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;65900;55586;0;0;0;121486;0;0;0;0;0;0;121486;121486;63111;-1;-1;-1;-1;-1;34054,46;-1;-1;-1;-1;4800;-1;-1;-1;-1;-1;-1;-1;-1;-1;3576;105541,46;-1;;;;;;;;;;
остаточний;Чернівецька;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-11-01;279,35;34000;165400;0;0;199679,35;0;0;0;0;0;0;199679,35;199679,35;145388;-1;-1;-1;-1;-1;54291,35;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;199679,35;0;;;;;;;;;;
остаточний;Чернівецька;Радикальна партія Олега Ляшка;подано повний звіт (Додатки 1-6);2015-10-30;0;48636;0;0;0;48636;0;0;0;0;0;0;48636;48636;33686;33686;0;0;0;0;13885;0;6840;0;7045;1050;0;0;0;0;0;0;0;0;1050;0;48621;15;;;;;;;;;;
остаточний;Чернівецька;Самопоміч;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;15948,82;0;0;0;0;15948,82;0;0;0;0;0;0;15948,82;15948,82;10850;-1;-1;-1;-1;-1;4583;-1;-1;-1;-1;515,82;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;15948,82;0;;;;;;;;;;
проміжний;Чернівецька;Сила людей;подано повний звіт (Додатки 1-6);2015-10-19;0;93390;0;0;0;93390;0;0;0;0;0;0;93390;93390;28940;28940;0;0;0;0;56595;55100;55100;0;1495;6153,6;6153,6;0;0;0;0;0;0;0;0;0;91688,6;1701,4;;;;;;;;;;
остаточний;Чернівецька;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;50652;27180;0;0;0;77832;0;0;0;0;0;0;77832;77832;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Чернігівська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;45950;0;0;0;0;45950;0;0;0;0;0;0;45950;45950;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Чернігівська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;17028;434311;5206;0;0;456545;0;0;0;-1;-1;-1;456545;451526,25;431096,6;401218,2;0;0;29878,4;0;5280;0;5280;0;0;0;0;0;0;0;0;0;0;0;0;15149,65;451526,25;0;;;;;;;;;;
остаточний;Чернігівська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;574200;40500;0;0;614700;0;0;0;45;0;0;614655;614655;144127,37;144127,37;0;0;0;0;470192,63;360692,63;304116;56576,63;109500;0;0;0;0;0;0;0;0;0;0;0;614655;0;;;;;;;;;;
остаточний;Чернігівська;Наш край;подано повний звіт (Додатки 1-6);2015-10-30;0;2698776,65;5001;0;0;2703777,65;0;0;0;0;0;0;2703777,65;2703777,65;458441,09;359234,81;0;0;99206,28;0;2113083,68;1764848,8;1632268;132580,8;348234,88;75850;2000;1000;0;20200;52650;0;0;0;0;26980;2674354,77;35252,88;;;;;;;;;;
остаточний;Чернігівська;Нова держава;подано повний звіт (Додатки 1-6);2015-10-29;0;1950;0;0;0;1950;0;0;0;0;0;0;1950;1950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1950;1950;0;;;;;;;;;;
остаточний;Чернігівська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;231841;0;0;0;231841;0;0;0;0;0;0;231841;231841;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Чернігівська;УКРОП;подано повний звіт (Додатки 1-6);2015-10-30;0;157540;65235,8;0;0;222775,8;17920;0;0;0;0;17920;204855,8;204855,8;154518;139773,1;8420;0;0;6324,9;11460;5280;5280;0;6180;38877,8;0;0;0;0;38877,8;0;0;0;0;0;204855,8;0;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
